actual_peak_I,predicted_peak_I,actual_peak_day,predicted_peak_day
475,987.9870754749854,53,125
480,800.8479924115708,69,142
403,1083.0065286745216,39,125
494,1006.2130797270477,45,125
444,532.2797219645844,79,177
523,1234.2517510001642,45,116
451,906.5299099165973,52,135
509,913.2445200811361,55,146
412,799.7572868901341,54,144
431,716.900686505895,66,148
431,1128.9892550423253,38,118
455,984.1557593836146,44,128
444,812.8317469602873,60,146
392,918.970267984632,44,135
472,898.234710062934,44,134
460,1219.2885782060905,52,115
481,1097.9771104412798,56,126
424,1212.3847917883415,55,120
516,1223.7699054541295,52,115
460,1254.8864548014637,40,118
422,1266.1320304259962,44,110
507,1139.19424125589,42,112
494,1007.3749027346793,57,128
553,1071.5197637525646,48,123
348,1168.2325783488807,61,118
509,1090.187100542827,59,125
446,558.5620599537264,67,166
457,863.699783465489,48,138
388,1034.2516694193023,57,129
389,752.2447154244588,62,141
